top_movie_of_the_year,year,total_gross,change_in_total_gross(%),number_of_releases,average_gross_per_release
Bad Boys for Life,2020,1798410543,-84.1,284,6332431
Avengers: Endgame,2019,11320885602,-4.8,909,12454219
Black Panther,2018,11889341443,7.4,993,11973153
Star Wars: Episode VIII - The Last Jedi,2017,11072821415,-2.7,852,12996269
Finding Dory,2016,11377080039,2.3,856,13290981
Jurassic World,2015,11125864078,7.4,846,13151139
Guardians of the Galaxy,2014,10359575749,-5.2,849,12202091
Iron Man 3,2013,10922056542,0.9,826,13222828
The Avengers,2012,10822811836,6.4,807,13411167
Harry Potter and the Deathly Hallows: Part 2,2011,10173623342,-3.7,730,13936470
Avatar,2010,10566830616,-0.2,651,16231690
Transformers: Revenge of the Fallen,2009,10590202011,10.0,646,16393501
The Dark Knight,2008,9629138099,-0.3,725,13281569
Spider-Man 3,2007,9657146210,4.9,776,12444776
Pirates of the Caribbean: Dead Man's Chest,2006,9208626512,4.2,746,12344003
Star Wars: Episode III - Revenge of the Sith,2005,8837721693,-5.6,676,13073552
Shrek 2,2004,9365055574,1.7,700,13378650
Finding Nemo,2003,9211025496,0.5,667,13809633
Spider-Man,2002,9165535694,13.0,570,16079887
Harry Potter and the Sorcerer's Stone,2001,8110960182,8.0,413,19639128
How the Grinch Stole Christmas,2000,7511547085,1.8,439,17110585
Star Wars: Episode I - The Phantom Menace,1999,7377967100,9.7,448,16468676
Titanic,1998,6725527166,9.2,334,20136308
Men in Black,1997,6156263535,8.9,310,19858914
Independence Day,1996,5653199362,8.7,306,18474507
Batman Forever,1995,5199428915,1.9,291,17867453
The Lion King,1994,5101025737,4.9,259,19695080
Jurassic Park,1993,4860902708,6.7,267,18205628
Batman Returns,1992,4556151332,4.3,247,18445956
Terminator 2: Judgment Day,1991,4366922856,0.1,253,17260564
Ghost,1990,4362843546,6.1,236,18486625
Batman,1989,4111404298,15.9,235,17495337
Who Framed Roger Rabbit,1988,3548516187,4.4,239,14847348
Beverly Hills Cop II,1987,3398961719,9.6,226,15039653
Top Gun,1986,3102793651,2.0,201,15436784
Back to the Future,1985,3041480248,-2.0,191,15923980
Ghostbusters,1984,3104296629,13.0,169,18368619
Star Wars: Episode VI - Return of the Jedi,1983,2748432836,-8.6,149,18445857
E.T. the Extra-Terrestrial,1982,3008355492,227.6,132,22790571
Superman II,1981,918310755,-44.6,56,16398406
Star Wars: Episode V - The Empire Strikes Back,1980,1657166297,33.1,68,24370092
Superman,1979,1244961893,48.1,40,31124047
Grease,1978,840508376,89.5,13,64654490
Star Wars: Episode IV - A New Hope,1977,443497478,290.6,9,49277497
